Used For,Manufacturer  or Supplier Part Number,Description,Manufacturer or Supplier,Quanity, Cost per Unit ,Total Cost,Link
Lock,Red KiKlock,Red KiK-lock Padlock,TOOOL,8,$30.00 ,$240.00 ,https://www.toool.us/equipment/Red-KiK-lock-p519912395/
Timer,5625,Qwiic / Stemma QT 5 Port Hub,Adafruit,1,$2.50 ,$2.50 ,https://www.adafruit.com/product/5625
Timer,5346,MCP23017 I2C GPIO Expander Breakout - STEMMA QT / Qwiic,Adafruit,2,$5.95 ,$11.90 ,https://www.adafruit.com/product/5346
Timer,559,Rugged Metal Pushbutton with Red LED Ring - 16mm,Adafruit,3,$4.95 ,$14.85 ,https://www.adafruit.com/product/559
Timer,2590,Metro Mini 328 V2 - Arduino-Compatible - 5V 16MHz,Adafruit,1,$14.95 ,$14.95 ,https://www.adafruit.com/product/2590
Timer,877,7-Segment LED Matrix Backpack - STEMMA QT / qwiic,Adafruit,8,$6.95 ,$55.60 ,https://www.adafruit.com/product/877
Timer,865,"Red 7-segment clock display - 0.56"" digit height",Adafruit,8,$3.95 ,$31.60 ,https://www.adafruit.com/product/865
Timer,4210,STEMMA QT / Qwiic JST SH 4-pin Cable - 100mm Long,Adafruit,3,$0.95 ,$2.85 ,https://www.adafruit.com/product/4210
Timer,4399,STEMMA QT / Qwiic JST SH 4-Pin Cable - 50mm Long,Adafruit,8,$0.95 ,$7.60 ,https://www.adafruit.com/product/4399
Lock,HR10-7R-4SA(73),CONN RCPT FMALE 4POS GOLD SOLDER,Hirose,8,$15.55 ,$124.40 ,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/HR10-7R-4SA-73/
Timer,HR10-7R-4S(73),CONN RCPT FMALE 4P GOLD SLDR CUP,Hirose,8,$16.26 ,$130.08 ,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/HR10-7R-4S-73/1095427
Cables,HR10-7P-4P(73),CONN PLUG MALE 4P GOLD SLDR CUP,Hirose,16,$14.61 ,$233.76 ,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/HR10-7P-4P-73/896581
Cables / Timer,MM-C6R-06.5-28LSZH-F,THIN CAT6 28AWG UTP LSZH 6.5 RED,Pactech,12,$8.11 ,$97.32 ,https://www.digikey.com/en/products/detail/pactech/MM-C6R-06-5-28LSZH-F/14005003
Lock,D2A-1110,SWITCH SNAP ACTION SPDT 0.1A 30V,Omron Electronics,8,$1.77 ,$14.16 ,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/D2A-1110/699999
Lock,Lock Switch PCB,PCB for Lock Switch and Connector (set of 8+1 spare),OSH Park,1,$4.20 ,$4.20 ,https://oshpark.com/shared_projects/PHDMdzFt
Timer,TYCNZ-2 ,USB A to USB C Charger Cord 3.1A Fast Charging 2-Pack 6.6ft,JAUX,1,$6.92 ,$6.92 ,https://www.amazon.com/gp/product/B076FPGWNZ
Timer,DS-WSD300 ,Clear Self Adhesive Rubber Bumpers Pads 13mm diameter x 4mm,Amazon,8,$0.04 ,$0.32 ,https://www.amazon.com/dp/B087MG3G76/
Timer,B0BK18R23P,Nylon Standoff Male to Female M2.5 10mm+6mm Black,Amazon,16,$0.20 ,$3.20 ,https://www.amazon.com/dp/B0BK18R23P
Timer,92492A711,Nylon Pan Head Phillips Screw M2.5 x 6mm Black,McMASTER-CARR,16,$0.02 ,$0.32 ,https://www.mcmaster.com/92492A711
